canonical_entity,market_group,region,sub_region,channel_level,salesperson_alias,salesperson_raw,customer_code,customer_name,has_customer,needs_code_fill,dim_matches,matched_customer_code,matched_customer_name,matched_market_group,matched_region,matched_sub_region,fill_method,fill_status,customer_code_filled
GmbH,Core Markets,Italy,Italy,,Italy,E. Grigoreva,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Italy,Italy,,Italy,E. Grigoreva Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Other NL,NL Other,,Benelux - Other,C. da Costa Campos,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Other NL,NL Other,,Benelux - Other,C. da Costa Campos Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Spain,Spain,,Montse,M. G. Fernández,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Spain,Spain,,Montse,M. G. Fernández Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,eCommerce (excl. USA),,eCommerce EU (incl. UK),eCommerce (excl. USA),e-commerce,,,0,True,,,,,,,dim_customer_exact_name,no_match,
UK,UK,UK,,Interco,Interco,Interco,,BlueGem Capital Partners LLP,0,True,1.0,30300,BlueGem Capital Partners LLP,UK,UK,,dim_customer_exact_name,filled_unique_exact,30300
UK,UK,UK,,Interco,Interco,Interco,,Suzanna Uden,0,True,1.0,30764,Suzanna Uden,UK,UK,,dim_customer_exact_name,filled_unique_exact,30764
UK,UK,UK,,Spa,,,,Genesta Georgian LLP; Francis Hotel Bath,0,True,1.0,51195,Genesta Georgian LLP; Francis Hotel Bath,UK,UK,,dim_customer_exact_name,filled_unique_exact,51195
US,USA,Interco,,Spa,Interco,,,Bethany Phillips,0,True,1.0,25908,Bethany Phillips,USA,USA,,dim_customer_exact_name,filled_unique_exact,25908
US,USA,Interco,,Spa,Interco,,,Erin Shapiro,0,True,1.0,25907,Erin Shapiro,USA,USA,,dim_customer_exact_name,filled_unique_exact,25907
