Entity,Market_Group,Region,Sub Region,Channel_Level,Company_Group,Sales_Employee,Customer_Code,Customer_Name,Sales_Employee_Cleaned,canonical_entity,canonical_customer_code,canonical_salesperson_name,customer_name_mapping,has_sp,has_name,dedup_rule
Inc.,USA,Northeast,,Spa,Company 1,,25033.0,Body Works Day Spa; Stewart Manor,Marcus,US,25033,MARCUS,Body Works Day Spa; Stewart Manor,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25034.0,"Live Love Spa; Tustin, CA",Erin,US,25034,ERIN,"Live Love Spa; Tustin, CA",1,1,prefer_salesperson_then_name
Inc.,USA,Other,,Spa,Company 1,,25035.0,Rosewood Little Dix Bay; Helen Lugo,Melissa,US,25035,MELISSA,Rosewood Little Dix Bay; Helen Lugo,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25036.0,MacArthur Place; LÁuberge de Sonoma LLC; CA,Erin,US,25036,ERIN,MacArthur Place; LÁuberge de Sonoma LLC; CA,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25037.0,Equinox Holdings Inc; Boston,Marcus,US,25037,MARCUS,Equinox Holdings Inc; Boston,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25038.0,"Lemon & Honey Day Spa; Orange, CA",Erin,US,25038,ERIN,"Lemon & Honey Day Spa; Orange, CA",1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25039.0,Four Seasons Hotel Austin; DTRS Austin LLC,Amy,US,25039,AMY,Four Seasons Hotel Austin; DTRS Austin LLC,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25040.0,AMG Investments LLC; Fl,Bethany,US,25040,BETHANY,AMG Investments LLC; Fl,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25041.0,Agata Sokolowska; IL,Marcus,US,25041,MARCUS,Agata Sokolowska; IL,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25042.0,Eau Palm Beach Resort & Spa; Fl,Bethany,US,25042,BETHANY,Eau Palm Beach Resort & Spa; Fl,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25043.0,"Jupiter Island Holdings, Inc.; Fl",Bethany,US,25043,BETHANY,"Jupiter Island Holdings, Inc.; Fl",1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25044.0,The Elms Hotel & Spa; Missouri,Amy,US,25044,AMY,The Elms Hotel & Spa; Missouri,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25045.0,dba Haven Spa,Marcus,US,25045,MARCUS,dba Haven Spa,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25046.0,"Beverly Wilshire,Four Seasons Hotel, CA",Erin,US,25046,ERIN,"Beverly Wilshire,Four Seasons Hotel, CA",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25047.0,"Four Seasons Resort Orlando,FL",Bethany,US,25047,BETHANY,"Four Seasons Resort Orlando,FL",1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25049.0,Four Seasons Baltimore; MD,Marcus,US,25049,MARCUS,Four Seasons Baltimore; MD,1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25050.0,"Mokara Hotel & Spa, Omni Hotels Management Corp.",Amy,US,25050,AMY,"Mokara Hotel & Spa, Omni Hotels Management Corp.",1,1,prefer_salesperson_then_name
Inc.,USA,Retail,,Retail,Company 1,,25051.0,Rennai Royalmount; Canada,Other,US,25051,OTHER,Rennai Royalmount; Canada,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25052.0,Rosewood Miramar Beach; CA,Erin,US,25052,ERIN,Rosewood Miramar Beach; CA,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25053.0,"Bonnie Frances Skin;Phoenix, AZ",Erin,US,25053,ERIN,"Bonnie Frances Skin;Phoenix, AZ",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25054.0,Four Seasons Hotel Nashville; TN,Bethany,US,25054,BETHANY,Four Seasons Hotel Nashville; TN,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25055.0,USREC Banyan Cay Resort LLC,Bethany,US,25055,BETHANY,USREC Banyan Cay Resort LLC,1,1,prefer_salesperson_then_name
Inc.,USA,Central,,Spa,Company 1,,25056.0,AMI LLC Bergamos Retreat,Amy,US,25056,AMY,AMI LLC Bergamos Retreat,1,1,prefer_salesperson_then_name
