market_group,region,customer_code,budget_native,budget_eur_compare,actual_native,actual_eur_compare,actual_rows,has_budget,has_actual,match_status,actual_cutoff_date
Core Markets,Germany,20069,2338.7257,2338.7257,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20070,3764.378,3764.378,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20073,150.0,150.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20079,180.0,180.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20080,646.0710600000001,646.0710600000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20093,632.8681200000001,632.8681200000001,669.14,669.1399999999999,15,1,1,both,2026-03-25
Core Markets,Germany,20097,2916.1394800000003,2916.1394800000003,0.0,0.0,2,1,0,budget_only,2026-03-25
Core Markets,Germany,20106,2053.37916,2053.37916,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20108,1277.8999300000005,1277.8999300000005,716.51,716.51,19,1,1,both,2026-03-25
Core Markets,Germany,20129,883.7845400000001,883.7845400000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20130,1114.66314,1114.66314,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20132,4803.865920000001,4803.865920000001,2876.39,2876.3899999999994,45,1,1,both,2026-03-25
Core Markets,Germany,20134,150.0,150.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20136,100.0,100.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20142,6270.28902,6270.28902,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20145,800.0,800.0,1084.24,1084.24,32,1,1,both,2026-03-25
Core Markets,Germany,20147,5115.2741000000005,5115.2741000000005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20148,7465.476670000001,7465.476670000001,0.0,0.0,4,1,0,budget_only,2026-03-25
Core Markets,Germany,20161,1698.0267600000004,1698.0267600000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20163,2177.4403700000003,2177.4403700000003,844.34,844.34,11,1,1,both,2026-03-25
Core Markets,Germany,20169,1731.3361200000004,1731.3361200000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20171,1037.45772,1037.45772,806.48,806.4799999999999,14,1,1,both,2026-03-25
Core Markets,Germany,20172,2049.8557100000007,2049.8557100000007,1172.97,1172.97,16,1,1,both,2026-03-25
Core Markets,Germany,20173,1532.89487,1532.89487,857.14,857.1399999999999,30,1,1,both,2026-03-25
Core Markets,Germany,20188,480.24678000000006,480.24678000000006,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20198,454.39338,454.39338,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20201,633.10726,633.10726,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20206,6444.1124500000005,6444.1124500000005,1445.21,1445.21,20,1,1,both,2026-03-25
Core Markets,Germany,20227,250.0,250.0,1023.56,1023.56,26,1,1,both,2026-03-25
Core Markets,Germany,20232,541.41938,541.41938,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20245,21998.46915,21998.46915,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20251,772.1406000000002,772.1406000000002,289.1,289.1,5,1,1,both,2026-03-25
Core Markets,Germany,20253,201.79476,201.79476,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20255,2818.80108,2818.80108,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20263,4365.89318,4365.89318,3098.78,3098.7799999999993,54,1,1,both,2026-03-25
Core Markets,Germany,20266,6531.94447,6531.94447,1871.43,1871.43,32,1,1,both,2026-03-25
Core Markets,Germany,20269,393.21018,393.21018,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20270,754.30548,754.30548,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20276,412.20644,412.20644,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20295,2868.68436,2868.68436,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20300,130.0,130.0,487.38,487.38000000000005,12,1,1,both,2026-03-25
Core Markets,Germany,20301,220.0,220.0,518.98,518.98,14,1,1,both,2026-03-25
Core Markets,Germany,20309,1826.6375800000003,1826.6375800000003,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20312,1352.6766000000002,1352.6766000000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20313,1149.3212400000002,1149.3212400000002,918.54,918.5400000000001,23,1,1,both,2026-03-25
Core Markets,Germany,20317,2032.5955800000008,2032.5955800000008,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20331,781.7245600000001,781.7245600000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20332,425.96312,425.96312,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20333,510.0,510.0,2177.94,2177.9399999999996,38,1,1,both,2026-03-25
Core Markets,Germany,20334,3588.43068,3588.43068,1441.95,1441.95,46,1,1,both,2026-03-25
Core Markets,Germany,20340,1683.4128100000005,1683.4128100000005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20345,6150.98708,6150.98708,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20346,1291.90248,1291.90248,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20347,828.1677599999999,828.1677599999999,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20349,1301.19918,1301.19918,877.65,877.6500000000001,22,1,1,both,2026-03-25
Core Markets,Germany,20351,105.96714,105.96714,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20353,90.0,90.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20364,390.0,390.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20370,3309.8662800000006,3309.8662800000006,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20371,740.15878,740.15878,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20376,797.7684600000001,797.7684600000001,613.45,613.4499999999999,9,1,1,both,2026-03-25
Core Markets,Germany,20386,290.0,290.0,509.84000000000003,509.84000000000003,18,1,1,both,2026-03-25
Core Markets,Germany,20395,4074.35994,4074.35994,648.9300000000001,648.93,40,1,1,both,2026-03-25
Core Markets,Germany,20413,440.0,440.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20414,1293.3528700000002,1293.3528700000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20417,734.27038,734.27038,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20433,3000.85673,3000.85673,466.62,466.62,5,1,1,both,2026-03-25
Core Markets,Germany,20434,2792.8615000000004,2792.8615000000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20441,787.4193600000001,787.4193600000001,889.83,889.83,17,1,1,both,2026-03-25
Core Markets,Germany,20444,490.0,490.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20445,3819.08148,3819.08148,703.98,703.98,16,1,1,both,2026-03-25
Core Markets,Germany,20448,2151.56991,2151.56991,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20454,1312.6406900000002,1312.6406900000002,406.58000000000004,406.58,14,1,1,both,2026-03-25
Core Markets,Germany,20472,456.4519,456.4519,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20475,55.864700000000006,55.864700000000006,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20503,70.0,70.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20505,210.0,210.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20507,1481.9749200000003,1481.9749200000003,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20509,2713.6328600000006,2713.6328600000006,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20511,524.91456,524.91456,774.45,774.45,15,1,1,both,2026-03-25
Core Markets,Germany,20513,130.0,130.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20517,400.0,400.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20519,2053.03792,2053.03792,1002.07,1002.07,19,1,1,both,2026-03-25
Core Markets,Germany,20529,210.0,210.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20533,704.3868000000002,704.3868000000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20536,2076.73304,2076.73304,1036.8,1036.7999999999997,13,1,1,both,2026-03-25
Core Markets,Germany,20539,80.0,80.0,829.74,829.7399999999998,26,1,1,both,2026-03-25
Core Markets,Germany,20556,200.0,200.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20568,490.0,490.0,652.74,652.74,16,1,1,both,2026-03-25
Core Markets,Germany,20570,1112.9671400000004,1112.9671400000004,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20573,1994.78008,1994.78008,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20576,1243.31967,1243.31967,-343.07,-343.07,1,1,1,both,2026-03-25
Core Markets,Germany,20577,340.0,340.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20590,1286.98319,1286.98319,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20592,70.0,70.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20598,7582.508990000001,7582.508990000001,2401.33,2401.33,28,1,1,both,2026-03-25
Core Markets,Germany,20601,9924.3648,9924.3648,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20613,3710.6285800000014,3710.6285800000014,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20615,5090.644700000001,5090.644700000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20619,787.5005,787.5005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20635,600.18366,600.18366,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20636,210.0,210.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20645,661.99405,661.99405,253.21,253.20999999999998,5,1,1,both,2026-03-25
Core Markets,Germany,20646,1102.24524,1102.24524,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20653,150.0,150.0,0.0,,0,1,0,budget_only,2026-03-25
